342;46;Pavlas Jan;Želešice;Ryzlink vlašský;B;;2020;RV;;Bio;4;82;;
343;130;Mrákava René;Josefov;Ryzlink vlašský;B;;2022;RV;;;4;60;;
344;141;Záblatský Daniel;Drnholec;Ryzlink vlašský;B;PS;2022;RV;suché;;4;82;;
345;146;Strouhal Oldřich;Klobouky u Brna;Ryzlink vlašský;B;;2020;RV;;;4;79;;
346;133;Šmukař Josef;Starovičky;Ryzlink vlašský;B;;2022;RV;;;4;86;;
347;54;Slanina Jan;Obřany;Ryzlink vlašský;B;;2022;RV;;;4;72;;
348;114;Šindelka Jan;Podolí u Brna;Ryzlink vlašský;B;;2021;RV;;;4;86;;
349;86;Vinařství Roman Komarov;Ivančice;Ryzlink vlašský;B;PS;2022;RV;suché;;4;84;;
350;147;Klobou Bohuslav;Brno-Starý Lískovec;Ryzlink vlašský;B;;2020;RV;;;4;nehodnoceno;;
351;83;Vinařství Olejník;Nový Šaldorf;Ryzlink vlašský;B;;2022;RV;polosladké;;4;81;;
352;119;Adámkovi J. a A.;Chvalovice;Ryzlink vlašský;B;;2022;RV;suché;;4;65;;
353;148;Měřinský Petr;Nový Přerov;Ryzlink vlašský;B;;2020;RV;;;4;nehodnoceno;;
354;113;Nečas Pavel;Velké Němčic;Ryzlink vlašský;B;;2021;RV;;;4;75;;
355;69;Turčínek Jan st.;Brno-Starý Lískovec;Ryzlink vlašský;B;;2022;RV;;;4;75;;
356;149;Richter Jaromír;Velké Němčice;Ryzlink vlašský;B;PS;2022;RV;;;4;78;;
357;134;Sýkora Josef;Brno;Ryzlink vlašský;B;;2022;RV;;;4;76;;
358;121;Černá Jitka;Brno - Bohunice;Ryzlink vlašský;B;;2022;RV;;;4;82;;
371;84;Vinařství Poppovi;Šatov;Savilon;B;;2021;Svl;polosladké;;5;80;;
372;78;Vinařství Jan Plaček;Moravské Bránice;Savilon;B;PS;2022;Svl;suché;;5;84;;
381;98;Víno Pokorný;Chvalovice;Sauvignon;B;;2022;Sg;suché;;5;85;;
382;46;Pavlas Jan;Želešice;Sauvignon;B;PS;2022;Sg;;;5;83;;
383;61;Špíšek Milan;Brno;Sauvignon;B;PS;2022;Sg;;;5;82;;
384;37;Lambeck, s.r.o.;Znojmo;Sauvignon;B;;2022;Sg;suché;;5;80;;
385;150;Hrdlička Ladislav;Telnice;Sauvignon;B;PS;2022;Sg;;;5;86;;
386;130;Mrákava René;Josefov;Sauvignon;B;;2022;Sg;;;5;71;;
387;37;Lambeck, s.r.o.;Znojmo;Sauvignon;B;;2020;Sg;suché;;5;80;;
388;25;Janda Lubomír;Brno-Bohunice;Sauvignon;B;;2023;Sg;;;5;85;;
389;69;Turčínek Jan st.;Brno-Starý Lískovec;Sauvignon;B;;2021;Sg;;;5;81;;
390;151;Smejkal Jan;Ořechov;Sauvignon;B;VzH;2022;Sg;;;5;78;;
391;118;Vinařství Hamala;Miroslav;Sauvignon;B;;2022;Sg;;;5;79;;
392;81;Vinařství Líbal s.r.o.;Horní Dunajovice;Sauvignon;B;PS;2021;Sg;polosuché;;5;86;;
393;119;Adámkovi J. a A.;Chvalovice;Sauvignon;B;;2008;Sg;polosuché;;5;84;;
394;84;Vinařství Poppovi;Šatov;Sauvignon;B;;2021;Sg;polosladké;;5;82;;
395;119;Adámkovi J. a A.;Chvalovice;Sauvignon;B;;2019;Sg;polosuché;;5;81;;
396;119;Adámkovi J. a A.;Chvalovice;Sauvignon;B;;2018;Sg;polosuché;;5;73;;
397;60;Špillar František;Hodonice;Sauvignon;B;PS;2022;Sg;;;5;71;;
398;152;Weiss Petr;Miroslavské Knínice;Sauvignon;B;;2023;Sg;;;5;83;;
399;119;Adámkovi J. a A.;Chvalovice;Sauvignon;B;;2022;Sg;suché;;5;70;;
401;155;Víno Přistál;Znojmo;Sauvignon blanc;B;;2022;SgB;polosuché;;5;87;;
411;105;Znovín Znojmo, a.s.;Šatov;Semillon;B;PS;2021;Sem;suché;;4;86;;
421;115;Mayer Pavel;Mikulov;Souvignier Gris;B;PS;2021;SoG;;;5;82;;
431;69;Turčínek Jan st.;Brno-Starý Lískovec;Solaris;B;;2022;Sol;;;3;83;;
432;100;Víno Tichý;Rybníky;Solaris;B;;2023;Sol;polosuché;;3;82;;
433;111;Tománek Alois;Boršice;Solaris;B;VzH;2022;Sol;;;3;71;;
434;127;Smištík P + J;Ořechov;Solaris;B;VzH;2023;Sol;;;3;80;;
435;32;Kořenek winary s.r.o.;Brno;Solaris;B;VzH;2023;Sol;;;3;77;;
441;156;Vinařství Košulič;Hustopeče;Sylvánské modré;B;;2022;SM;suché;;1;70;;
549;20;Huška Tomáš;Čejkovice;směs;B;;2022;;;;7;86;;
451;96;Vinný skípek u Hanzelů;Miroslavské Knínice;Sylvánské zelené;B;PS;2022;SZ;;;1;86;;
452;157;Knápek & Machů;Velké Bílovitce;Sylvánské zelené;B;;2022;SZ;suché;;1;86;;
453;46;Pavlas Jan;Želešice;Sylvánské zelené;B;;2020;SZ;;;1;82;;
454;158;Žmolík Jiří;Boršice;Sylvánské zelené;B;;2022;SZ;;;1;82;;
